ID Emozione,Emozione,Frequenza
27,Neutra,14219
0,Ammirazione,4130
4,Approvazione,2939
15,Gratitudine,2662
3,Fastidio,2470
1,Divertimento,2328
7,Curiosità,2191
18,Amore,2086
10,Disapprovazione,2022
20,Ottimismo,1581
2,Rabbia,1567
17,Gioia,1452
6,Confusione,1368
25,Tristezza,1326
9,Delusione,1269
22,Consapevolezza,1110
5,Premura,1087
26,Sorpresa,1060
13,Entusiasmo,853
11,Disgusto,793
8,Desiderio,641
14,Paura,596
24,Rimorso,545
12,Imbarazzo,303
19,Nervosismo,164
23,Sollievo,153
21,Orgoglio,111
16,Dolore,77
