                                                                                                                                             0         1       2
                                                                                                          Good for #70 to console the poor guy       0,5 edhjzs4
                                                   Hey, you sound like you're living my exact life. It's a good life. Enjoy sharing the love.   0,4,5,17 eee8e9f
                                                       Nah they did a good job. It appears you’re very mentally unwell, I hope you get better.       0,5 eekcncu
                                              I'm so sorry. You can do this. Just remember YOU are a person who is worthy of love and respect.       0,5 eesb2bo
                                                                                                     Thanks man I’ll try, you stay strong too!    0,5,15 edahpld
                                                                                                         Your spine is so shiny! Good for you!       0,5 ef1fy2u
                            Lucky you got a sane dad. Get ready for a world of crazy... just don't get sucked into her toxic world. Good luck.    0,5,20 ef0qb0q
                           I'm glad that yours is getting slightly better too! Keep on working on it and you'll be a social butterfly someday!       0,5 ef49beq
                               after months on months of making gameoverse, he’s had no time. it’s getting the best of him now... pray for him       0,5 edstb0h
                                                                          Your cat is the best thing I've read all day. Take care of your cat!       0,5 edyx925
         Even while [NAME] in a America are discriminated against, they still have such warm hearts. [NAME] Bless them (my [NAME], and theirs)       0,5 eea0uiq
                                                                                       Congratulations!! How are you feeling/doing these days?       0,5 edcfxsy
                                                                                                                Always worth a try. Good luck!     0,4,5 eda1k7b
                                                           ❤️ you are a strong individual and there is an amazing amount of support behind you       0,5 efdjx2j
                                                                                                      I am happy for you. No, seriously, I am.    0,5,18 ee6qhp0
                                                                      Congrats! Wait till you get your first date and you’ll feel even better.    0,5,15 efecl8v
This is a hige step! Congratulations, and looking forward to hearing about your recovery. You have a whole new free life to look forward to :)    0,5,15 eeb8s50
                                  I never thought about that last part - how cool! He is lucky to have you for an owner, you seem very caring!       0,5 ef85rcf
                                                                                                    Great to hear that. Go beyond, plus ultra!       0,5 eedk0dd
                                                    I'll show some love for diazepam! Congratulations on the re up and let me Know if they are 0,5,15,18 eecjnbm
                                                     Well, glad I could help. Have a fantastic day and don’t let the straights scare you away!    0,5,15 eexhglz
                                                               [NAME] came a long way since the nervous wreck he was the first year. or.. two.       0,5 eewwzu5
                     I’m glad you had such a helpful person on the other end during a tough situation, those kinds of people are like angels❤️       0,5 edfi8eu
                                                                   Appreciate you keeping to the bet. The other guy hasn't yet. Take care bro.       0,5 edheiwb
                    Nice man!! Wish you guys the best. Here I am FA again after a 2 1/2 year relationship ended lol so enjoy it while it lasts       0,5 edebvml
                     Such a beautiful smile! I can tell from your eyes that you’re a good person, and very sweet. I hope life treats you well.    0,5,18 ed9srty
                                                                                                                  [NAME] deserves appreciation    0,5,15 ef787uz
                                            His loss! A child is the most precious thing life has to offer. Good riddance, you deserve better.       0,5 ee6ao7s
                                                                      You’re a damn good grandma, good wishes for your grandson and good luck!       0,5 efb8xlf
               I don't want [NAME] to lose her job is all. She's a rare teacher who loves her job and students once you help her out and all..       0,5 edybde1
                                                                      Try a group called Our Companions website: people who care a great deal.       0,5 ef411a5
